,Role,Tags,Additional
983,QA Engineer (Python),"[' Python', ' Linux', ' Git', ' XML', ' Jira', ' English', ' Polish', ' Team player', ' Communication skills', ' Proactivity', ' good understanding of agile development']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
984,QA Engineer,"[' Selenium', ' Java', ' JIRA', ' Test Design Techniques', ' Scripting Skills', ' Test Automation', ' Git', ' API Rest Tests', ' Browser Developer Tools', ' SQL', ' JavaScript', ' PHP', ' Behat', ' PHP Unit', ' ISTQB']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}"
985,QA Lead,"[' Java', ' Knowledge of software testing', ' Experience in creating test plans', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Experience in agile methodologies', ' Excellent teamwork skills', ' Familiar with gamedev', ' Know how to train your colleagues', ' JIRA', ' Confluence', ' BPMN/UML', ' Experience in working with mobile apps']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
986,QA Tester,"[' sql', ' SDLC', ' QA', ' RESTful API', ' Postman', ' JMeter', ' Communication skills', ' English B2', ' Attention to detail', ' Analytical and problem-solving skills', ' Python', ' Selenium', ' Protractor', ' AWS', ' Scrum']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
987,Quality Assurance Engineer,"[' Java', ' REST', ' C#', ' WebSocket', ' AMQP', ' PowerShell', ' Azure/AWS/Google', ' Non-functional tests', ' SQL, NoSQL', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Waterfall/V Model/AGILE', ' Jira/Confluence/Teamcity']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
988,Quality Assurance Engineer,"[' Python', ' Linux', ' SQL/MySQL', ' JMeter OR Cypress OR WebPageTest', ' Polish', ' English (B2/C1)', ' Analytical skills', ' Node.js']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
989,Quality Assurance Engineer,"[' JavaScript', ' SQL', "" Tester's Mindset :)"", ' Accuracy', ' English', ' Assertiveness', ' REST', ' Docker', ' Inquisitiveness', ' Manual Exploratory Testing', ' Cypress.io']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes ', ' Remote days per month ': None}"
990,Quality Assurance Engineer,"[' Selenium', ' JIRA', ' Manual testing', ' Test Automation', ' Object Oriented programming', ' English', ' Python', ' JavaScript', ' BDD', ' Page Object Pattern']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}"
991,Quality Assurance Engineer,"[' Test automation', ' English', ' Communication skills', ' Selenium', ' Java', ' JavaScript', ' REST', ' .NET', ' Critical thinking', ' Problem solving']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
992,Quality Assurance Specialist,"[' Selenium', ' Postman', ' English', ' Polish', ' Communication skills', ' Java', ' SQL', ' Python', ' JIRA', ' JavaScript', ' REST', ' Jenkins', ' Linux', ' SoapUI', ' Docker', ' Protractor', ' SOAP']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
